Activity,Location(s),Region,Required Keywords,Coin per Reward Roll,Coin per Chest Roll,Has Bird Nests,Has Gem Table,Is Underwater,Skill1,S1 Min,Skill2,S2 Min,Skill3,S3 Min,Skill4,S4 Min,Available,Base XP (S1),Base XP (S2),Base XP (S3),Base XP (S4),Base Gem Drop Rate,Has Gem Bag,Base Tokens/ Action,Base Steps,Max Gear Eff,"""Min"" Steps",Current Steps,XP/Step (S1),XP/Step (S2),XP/Step (S3),XP/Step (S4),Total XP/Step,Steps/Level (S1),Steps/Level (S2),Steps/Level (S3),Steps/Level (S4),Effective Steps/Level,Steps/Chest (each skill),S1 Steps/New Chest Item,S2 Steps/New Chest Item,S3 Steps/New Chest Item,Steps/Adventure Chest Item,Steps/Activity Item,Steps/ Collectible,Steps/New Item,Activity Item,Collectible,Steps/ Progress,Coin/1k Steps,Steps/ Token,Steps/ Gem,NameCopy,Steps/Trinket
Cliff Foraging,"Frostbite Mountain, Sanguine Hills",Jarvonia,,2.49568,135.768,FALSE,FALSE,FALSE,Foraging,25,Agility,20,,,,,TRUE,64,16,,,,FALSE,0,121,74,61,97,0.660,0.165,-,-,0.825,"16,084","64,335",-,-,"12,867","24,250","32,928","32,928",-,-,"69,286",-,"13,303",Feather Cape,-,"6,541",31.58,-,-,Cliff Foraging,"615,482.23"
Cleaning The Holy Fountain,"Frostbite Mountain, Sanguine Hills",Jarvonia,,2.49568,135.768,FALSE,FALSE,FALSE,Fishing,20,,,,,,,TRUE,58,,,,,FALSE,0,110,45,65,88,0.659,-,-,-,0.659,"16,101",-,-,-,"16,101","22,000","29,873",-,-,-,-,"33,846","15,868",-,Cold Embrace,"7,992",65.74,-,-,Cleaning The Holy Fountain,"35,662.18"
Coral Cutting,,Syrenthia,hatchet,4.5,242.992,FALSE,FALSE,TRUE,Woodcutting,45,,,,,,,TRUE,120,,,,,FALSE,0,120,94,60,113,1.062,-,-,-,1.062,"9,993",-,-,-,"9,993","28,250","38,360",-,-,-,-,-,"38,360",-,-,"7,928",45.99,-,-,Coral Cutting,-
Cut Bamboo,Witched Woods,"GDTE,Swamp",hatchet,4.02312,77.35196,TRUE,FALSE,FALSE,Woodcutting,45,,,,,,,TRUE,60,,,,,FALSE,0,70,83,37,66,0.909,-,-,-,0.909,"11,673",-,-,-,"11,673","16,500","22,405",-,-,-,-,-,"22,405",-,-,"7,675",70.77,-,-,Cut Bamboo,"388,235.29"
Cut Birch Trees,"Disenchanted Forest, Nomad Woods",Jarvonia,hatchet,0,77.556,TRUE,FALSE,FALSE,Woodcutting,1,,,,,,,TRUE,10,,,,,FALSE,0,35,35,22,28,0.357,-,-,-,0.357,"29,714",-,-,-,"29,714","7,000","9,505",-,-,-,-,-,"9,505",-,-,"7,201",24.63,-,-,Cut Birch Trees,-
Cut Mangrove Trees,Mangrove Forest,GDTE,hatchet,5,77.556,TRUE,FALSE,FALSE,Woodcutting,50,,,,,,,TRUE,97,,,,,FALSE,0,90,110,43,90,1.078,-,-,-,1.078,"9,846",-,-,-,"9,846","22,500","30,552",-,-,-,-,-,"30,552",-,-,"7,446",62.75,-,-,Cut Mangrove Trees,"321,428.57"
Cut Maple Trees,Mangrove Forest,GDTE,hatchet,2,77.556,TRUE,FALSE,FALSE,Woodcutting,30,,,,,,,TRUE,46,,,,,FALSE,0,65,51,37,52,0.885,-,-,-,0.885,"11,996",-,-,-,"11,996","13,000","17,652",-,-,-,-,-,"17,652",-,-,"7,142",50.92,-,-,Cut Maple Trees,"325,000.00"
Cut Oak Trees,"Nomad Woods, Noiseless Pass",Jarvonia,hatchet,2,77.556,TRUE,FALSE,FALSE,Woodcutting,25,,,,,,,TRUE,38,,,,,FALSE,0,60,52,34,48,0.792,-,-,-,0.792,"13,405",-,-,-,"13,405","12,000","16,294",-,-,-,-,-,"16,294",-,-,"7,354",55.16,-,-,Cut Oak Trees,"369,230.77"
Cut Pine Trees,Disenchanted Forest,Jarvonia,,1,77.556,TRUE,FALSE,FALSE,Woodcutting,10,,,,,,,TRUE,19,,,,,FALSE,0,50,32,32,40,0.475,-,-,-,0.475,"22,341",-,-,-,"22,341","10,000","13,579",-,-,-,-,-,"13,579",-,-,"8,446",41.19,-,-,Cut Pine Trees,-
Cut Spruce Trees,"Nomad Woods, Noiseless Pass",Jarvonia,hatchet,1,77.556,TRUE,FALSE,FALSE,Woodcutting,20,,,,,,,TRUE,29,,,,,FALSE,0,50,42,30,40,0.725,-,-,-,0.725,"14,637",-,-,-,"14,637","10,000","13,579",-,-,-,-,-,"13,579",-,-,"7,044",41.19,-,-,Cut Spruce Trees,-
Cut Teak Trees,Farsand Coast,GDTE,hatchet,3,77.556,TRUE,FALSE,FALSE,Woodcutting,40,,,,,,,TRUE,60,,,,,FALSE,0,70,77,37,63,0.952,-,-,-,0.952,"11,143",-,-,-,"11,143","15,750","21,386",-,-,-,-,-,"21,386",-,-,"7,326",57.90,-,-,Cut Teak Trees,"315,000.00"
Cut Willow Trees,"Mangrove Forest, Warrenfield",GDTE,hatchet,4,77.556,TRUE,FALSE,FALSE,Woodcutting,40,,,,,,,TRUE,50,,,,,FALSE,0,58,75,31,52,0.962,-,-,-,0.962,"11,036",-,-,-,"11,036","13,000","17,652",-,-,-,-,"173,333","16,021",-,Weeping Willow Tear,"6,535",89.38,-,-,Cut Willow Trees,-
Erdwise Dumpster Diving,Blackspell Port,GDTE,,4.67177,135.768,FALSE,FALSE,FALSE,Foraging,35,Agility,20,,,,,TRUE,173,62,,,,FALSE,0,250,82,125,211,0.820,0.294,-,-,1.114,"12,943","36,115",-,-,"9,528","52,750","71,628","71,628",-,-,-,-,"35,814",-,-,"7,526",24.83,-,-,Erdwise Dumpster Diving,"161,364.33"
Trellin Dumpster Diving,Granfiddich,GDTE,,5.19264,135.768,FALSE,FALSE,FALSE,Foraging,35,Agility,20,,,,,TRUE,173,62,,,,FALSE,0,250,82,125,211,0.820,0.294,-,-,1.114,"12,943","36,115",-,-,"9,528","52,750","71,628","71,628",-,-,-,-,"35,814",-,-,"7,526",27.30,-,-,Trellin Dumpster Diving,"161,364.33"
Firewood Making,Coldington,Jarvonia,hatchet,0.04908,140.228,FALSE,FALSE,FALSE,Woodcutting,15,Agility,10,,,,,TRUE,22,11,,,,FALSE,0,68,45,40,55,0.400,0.200,-,-,0.600,"26,530","53,060",-,-,"17,687","13,750","18,671","18,671",-,-,"13,447",-,"5,510",Tree Scaling Claws (Wood),-,"4,201",11.51,-,-,Firewood Making,-
Flame Stoking,Kallaheim,Jarvonia,,5,91.788,FALSE,FALSE,FALSE,Smithing,1,,,,,,,TRUE,30,,,,,FALSE,0,300,75,150,240,0.125,-,-,-,0.125,"84,896",-,-,-,"84,896","60,000","81,472",-,-,-,-,-,"81,472",-,-,"41,574",22.40,-,-,Flame Stoking,-
Forest Foraging,Disenchanted Forest,Jarvonia,,1.035765,73.096,FALSE,FALSE,FALSE,Foraging,1,Agility,,,,,,TRUE,20,3,,,,FALSE,0,80,75,40,64,0.313,0.047,-,-,0.359,"33,958","226,389",-,-,"29,529","16,000","21,726",-,-,-,-,-,"21,726",-,-,"12,517",21.65,-,-,Forest Foraging,"406,091.37"
Fossil Mining,,Syrenthia,"pickaxe,lightSource",0,251.496,FALSE,TRUE,TRUE,Mining,35,,,,,,,TRUE,375,,,,0.01,FALSE,0,500,21,358,422,0.889,-,-,-,0.889,"11,942",-,-,-,"11,942","105,500","143,255",-,-,-,-,"84,400","53,110",-,Seahorse Fossil,"9,750",2.96,-,"42,200",Fossil Mining,-
GDTE Skydisc Course,Bilgemont Port,GDTE,skydisc,0,62.672,FALSE,FALSE,FALSE,Agility,25,,,,,,,TRUE,392,,,,,FALSE,0,680,55,378,544,0.721,-,-,-,0.721,"14,727",-,-,-,"14,727","136,000","184,670",-,-,-,-,-,"184,670",-,-,"13,639",0.48,-,-,GDTE Skydisc Course,-
Glacier Foraging,Winter Waves Glacier,Jarvonia,,0.015,135.768,FALSE,FALSE,FALSE,Foraging,30,Agility,30,,,,,TRUE,169,12,,,,FALSE,0,208,55,116,167,1.012,0.072,-,-,1.084,"10,486","147,684",-,-,"9,791","41,750","56,691","56,691",-,-,"1,284,615","334,000","25,607",Blue Ice Sickle,Expedition Journal,"7,083",3.49,-,-,Glacier Foraging,"1,059,644.67"
Gold Panning,Norsack Plains,Jarvonia,goldPan,1.131,157.22,FALSE,TRUE,FALSE,Mining,15,Fishing,5,,,,,TRUE,20,12,,,0.01,FALSE,0,70,35,44,56,0.357,0.214,-,-,0.571,"29,714","49,523",-,-,"18,571","14,000","19,010","19,010",-,-,"46,666",-,"7,897",Old Copper Ring,-,"5,541",40.97,-,"5,600",Gold Panning,-
Guard Duty,,GDTE,lightSource,15.5,336.572,FALSE,FALSE,FALSE,Agility,55,,,,,,,FALSE,140,,,,,TRUE,0,110,114,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Guard Duty,-
Horseshoe Making,Port Skildar,Jarvonia,hammer,0.0154,193.308,FALSE,FALSE,FALSE,Smithing,20,,,,,,,TRUE,25,,,,,FALSE,0,70,75,35,56,0.446,-,-,-,0.446,"23,771",-,-,-,"23,771","14,000","19,010",-,-,-,-,-,"19,010",-,-,"10,563",14.23,-,-,Horseshoe Making,"119,148.94"
House Jumping,Everhaven,GDTE,,1.24237,62.672,TRUE,FALSE,FALSE,Agility,45,,,,,,,TRUE,143,,,,,FALSE,0,147,104,70,139,1.029,-,-,-,1.029,"10,315",-,-,-,"10,315","34,750","47,186",-,-,-,"69,535",-,"28,110",Flowy Trousers,-,"7,546",13.13,-,-,House Jumping,-
Hull Repair,Blackspell Port,GDTE,,5.656,359.196,FALSE,FALSE,FALSE,Carpentry,40,Smithing,30,,,,,TRUE,97,50,,,,TRUE,0,147,67,82,131,0.740,0.382,-,-,1.122,"14,332","27,803",-,-,"9,457","32,750","44,470","44,470",-,-,"118,018",-,"18,710",Sailor's Hat,-,"6,282",53.23,-,"8,188",Hull Repair,"189,855.07"
Hut Jumping,Coldington,Jarvonia,,0.125475,62.672,TRUE,FALSE,FALSE,Agility,25,,,,,,,TRUE,34,,,,,FALSE,0,53,23,36,43,0.791,-,-,-,0.791,"13,421",-,-,-,"13,421","10,750","14,597",-,-,-,"23,626",-,"9,023",Parkour Gloves,-,"5,395",16.47,-,-,Hut Jumping,-
Ice Sculpting,Frusenholm,Jarvonia,carpentryTool,1.51254,189.668,FALSE,FALSE,FALSE,Carpentry,15,Crafting,15,,,,,TRUE,21,16,,,,FALSE,0,89,73,45,72,0.292,0.222,-,-,0.514,"36,384","47,754",-,-,"20,650","18,000","24,442","24,442",-,-,"34,450","72,000","8,016",Ice Cutter,Tiny Swan Ice Sculpture,"5,775",32.03,-,-,Ice Sculpting,-
Jarvonia Skydisc Course,Barbantok,Jarvonia,skydisc,0,62.672,FALSE,FALSE,FALSE,Agility,10,,,,,,,TRUE,193,,,,,FALSE,0,430,35,269,344,0.561,-,-,-,0.561,"18,915",-,-,-,"18,915","86,000","116,777",-,-,-,-,-,"116,777",-,-,"16,278",0.75,-,-,Jarvonia Skydisc Course,-
Kayaking,Old Arena Ruins,GDTE,lifeVest,0.73394,62.672,FALSE,FALSE,FALSE,Agility,30,,,,,,,TRUE,49,,,,,FALSE,0,68,54,38,55,0.891,-,-,-,0.891,"11,911",-,-,-,"11,911","13,750","18,671",-,-,-,-,-,"18,671",-,-,"7,272",18.06,-,-,Kayaking,"103,773.58"
Kelp Foraging,,Syrenthia,,4.64286,316.088,FALSE,FALSE,TRUE,Foraging,35,Woodcutting,35,,,,,TRUE,35,35,,,,FALSE,0,110,82,55,93,0.376,0.376,-,-,0.753,"28,198","28,198",-,-,"14,099","23,250","31,570","31,570",-,-,-,-,"15,785",-,-,"7,447",60.73,-,-,Kelp Foraging,"590,101.52"
Lake Fishing,"Azurazera, Frusenholm",Jarvonia,rod,0.67568,71.16,FALSE,FALSE,FALSE,Fishing,5,,,,,,,TRUE,22,,,,,FALSE,0,75,35,47,60,0.367,-,-,-,0.367,"28,942",-,-,-,"28,942","15,000","20,368",-,-,-,-,-,"20,368",-,-,"11,955",16.02,-,-,Lake Fishing,-
Litter Looting,"Kallaheim, Granfiddich",Jarvonia,,0.13416,73.096,FALSE,FALSE,FALSE,Foraging,8,Agility,,,,,,TRUE,32,6,,,,FALSE,0,95,73,48,76,0.421,0.079,-,-,0.500,"25,204","134,419",-,-,"21,224","19,000","25,799",-,-,-,"20,375",-,"11,384",Smelly Socks,-,"7,410",5.82,-,-,Litter Looting,"482,233.50"
Magnet Fishing,Old Arena Ruins,GDTE,magnet,3.46919,144.256,FALSE,FALSE,FALSE,Fishing,40,Foraging,30,,,,,TRUE,136,60,,,,FALSE,0,189,116,83,168,0.810,0.357,-,-,1.167,"13,109","29,714",-,-,"9,096","42,000","57,030","57,030",-,-,-,"186,667","24,736",-,Old War Sword,"6,651",24.18,-,-,Magnet Fishing,"68,082.35"
Merfolk Dancing,,Syrenthia,,0.2098,228.108,FALSE,FALSE,TRUE,Agility,30,,,,,,,TRUE,195,,,,,FALSE,0,300,75,150,240,0.813,-,-,-,0.813,"13,061",-,-,-,"13,061","60,000","81,472",-,-,-,"122,449","240,000","40,638",Merfolk Dress (Underwater),Letter from A. A.,"9,884",3.51,-,-,Merfolk Dancing,-
Merfolk Farm Foraging,,Syrenthia,,3.30002,238.532,FALSE,FALSE,TRUE,Foraging,40,,,,,,,TRUE,90,,,,,FALSE,0,100,77,53,89,1.011,-,-,-,1.011,"10,494",-,-,-,"10,494","22,250","30,213",-,-,-,-,-,"30,213",-,-,"7,789",44.72,-,-,Merfolk Farm Foraging,"564,720.81"
Mine Coal,Frostbite Mountain,Jarvonia,pickaxe,2,86.06,FALSE,TRUE,FALSE,Mining,30,,,,,,,TRUE,48,,,,0.01,FALSE,0,80,53,45,64,0.750,-,-,-,0.750,"14,149",-,-,-,"14,149","16,000","21,726",-,-,-,-,-,"21,726",-,-,"8,569",44.97,-,"6,400",Mine Coal,-
Mine Copper Ore,Frostbite Mountain,Jarvonia,pickaxe,0,86.06,FALSE,TRUE,FALSE,Mining,1,,,,,,,TRUE,12,,,,0.01,FALSE,0,50,23,34,40,0.300,-,-,-,0.300,"35,373",-,-,-,"35,373","10,000","13,579",-,-,-,-,"40,000","10,137",-,Jarvonian Crossword Puzzle,"7,879",21.95,-,"4,000",Mine Copper Ore,-
Mine Farganite Ore,Sanguine Hills,Jarvonia,pickaxe,5,86.06,FALSE,TRUE,FALSE,Mining,50,,,,,,,TRUE,78,,,,0.01,FALSE,0,105,99,53,105,0.743,-,-,-,0.743,"14,285",-,-,-,"14,285","26,250","35,644",-,-,-,-,-,"35,644",-,-,"10,198",55.98,-,"10,500",Mine Farganite Ore,-
Mine Iron Ore,Frostbite Mountain,Jarvonia,pickaxe,1,86.06,FALSE,TRUE,FALSE,Mining,20,,,,,,,TRUE,29,,,,0.01,FALSE,0,60,33,38,48,0.604,-,-,-,0.604,"17,565",-,-,-,"17,565","12,000","16,294",-,-,-,-,-,"16,294",-,-,"8,453",39.13,-,"4,800",Mine Iron Ore,-
Mine Tarsilium Ore,Sanguine Hills,Jarvonia,pickaxe,3,86.06,FALSE,TRUE,FALSE,Mining,40,,,,,,,TRUE,58,,,,0.01,FALSE,0,90,75,48,80,0.725,-,-,-,0.725,"14,637",-,-,-,"14,637","20,000","27,157",-,-,-,-,-,"27,157",-,-,"9,511",48.48,-,"8,000",Mine Tarsilium Ore,-
Mine Tarsilium Ore (underwater),,Syrenthia,pickaxe,3,86.06,FALSE,TRUE,TRUE,Mining,40,,,,,,,TRUE,58,,,,0.01,FALSE,0,87,77,46,78,0.744,-,-,-,0.744,"14,271",-,-,-,"14,271","19,500","26,478",-,-,-,-,-,"26,478",-,-,"9,273",49.72,-,"7,800",Mine Tarsilium Ore (underwater),-
Mine Tin Ore,Frostbite Mountain,Jarvonia,pickaxe,0,86.06,FALSE,TRUE,FALSE,Mining,10,,,,,,,TRUE,22,,,,0.01,FALSE,0,65,34,41,52,0.423,-,-,-,0.423,"25,083",-,-,-,"25,083","13,000","17,652",-,-,-,-,-,"17,652",-,-,"10,361",16.89,-,"5,200",Mine Tin Ore,-
Mine Volcanic Rock,,Syrenthia,pickaxe,4.14286,251.496,FALSE,TRUE,TRUE,Mining,45,,,,,,,TRUE,120,,,,0.01,FALSE,0,125,84,66,118,1.017,-,-,-,1.017,"10,435",-,-,-,"10,435","29,500","40,057",-,-,-,-,"590,000","37,510",-,Very Shiny Stone,"8,164",45.71,-,"11,800",Mine Volcanic Rock,-
Mountain Climbing,Frostbite Mountain,Jarvonia,climbing,0.0418,62.672,FALSE,FALSE,FALSE,Agility,10,,,,,,,TRUE,23,,,,,FALSE,0,57,34,36,46,0.500,-,-,-,0.500,"21,224",-,-,-,"21,224","11,500","15,615",-,-,-,"36,220",-,"10,911",Iron Thermos,-,"7,206",6.55,-,-,Mountain Climbing,-
Plains Foraging,"Norsack Plains, Casbrant Fields",Jarvonia,,1.02857,73.096,FALSE,FALSE,FALSE,Foraging,10,Agility,,,,,,TRUE,35,13,,,,FALSE,0,95,34,60,76,0.461,0.171,-,-,0.632,"23,043","62,039",-,-,"16,802","19,000","25,799",-,-,-,"8,646",-,"6,476",Sticky Finger Shorts,-,"4,674",17.58,-,-,Plains Foraging,"482,233.50"
Predator Hunting (Spear),,Syrenthia,"spear,lightSource",9.86679,236.596,FALSE,FALSE,TRUE,Fishing,55,,,,,,,FALSE,328,,,,,FALSE,0,250,126,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Predator Hunting (Spear),-
Rescue Team,Horn of Respite,Jarvonia,"skis,climbing",0,62.672,FALSE,FALSE,FALSE,Agility,30,,,,,,,TRUE,5000,,,,,FALSE,13,8500,25,5667,6800,0.735,-,-,-,0.735,"14,432",-,-,-,"14,432","11,333","15,389",-,-,"31,706",-,-,"10,361",-,-,"6,031",5.72,503,-,Rescue Team,-
Ridge Scrambling,Sanguine Hills,Jarvonia,climbing,2.60128,62.672,FALSE,FALSE,FALSE,Agility,35,,,,,,,TRUE,94,,,,,FALSE,0,119,59,67,101,0.931,-,-,-,0.931,"11,402",-,-,-,"11,402","25,250","34,286",-,-,-,"126,250",-,"26,964",Grappling Hook,-,"8,014",28.32,-,-,Ridge Scrambling,-
Sandcastle Building,Beach of Woes,Jarvonia,,0,95.028,FALSE,FALSE,FALSE,Carpentry,1,,,,,,,TRUE,70,,,,,FALSE,0,225,25,150,180,0.389,-,-,-,0.389,"27,288",-,-,-,"27,288","45,000","61,104",-,-,-,-,"9,000","7,845",-,Lost Timmy's Sand Shovel,"6,093",2.42,-,-,Sandcastle Building,-
Sea Fishing (Cage),Winter's End,Jarvonia,cage,2,142.68,FALSE,FALSE,FALSE,Fishing,35,,,,,,,TRUE,125,,,,,FALSE,0,150,72,79,127,0.984,-,-,-,0.984,"10,782",-,-,-,"10,782","31,750","43,112",-,-,-,"96,212",-,"29,772",Crustacean Call,-,"7,915",20.21,-,-,Sea Fishing (Cage),-
Sea Fishing (Net),Beach of Woes,Jarvonia,fishNet,1.35,142.68,FALSE,FALSE,FALSE,Fishing,1,,,,,,,TRUE,28,,,,,FALSE,0,95,34,60,76,0.368,-,-,-,0.368,"28,804",-,-,-,"28,804","19,000","25,799",-,-,-,-,-,"25,799",-,-,"13,610",25.78,-,-,Sea Fishing (Net),-
Sea Fishing (Rod),Port Skildar,Jarvonia,rod,1.69446,142.68,FALSE,FALSE,FALSE,Fishing,20,,,,,,,TRUE,64,,,,,FALSE,0,110,45,65,88,0.727,-,-,-,0.727,"14,592",-,-,-,"14,592","22,000","29,873",-,-,-,-,-,"29,873",-,-,"9,803",25.70,-,-,Sea Fishing (Rod),-
Sea Fishing (Spear),,Syrenthia,spear,5.06173,236.596,FALSE,FALSE,TRUE,Fishing,30,,,,,,,TRUE,82,,,,,FALSE,0,125,65,66,100,0.820,-,-,-,0.820,"12,941",-,-,-,"12,941","25,000","33,947",-,-,-,"89,286",-,"24,595",Eye Patch,-,"8,480",57.20,-,-,Sea Fishing (Spear),"89,285.71"
Search Team,Horn of Respite,Jarvonia,,0,62.672,FALSE,FALSE,FALSE,Agility,1,,,,,,,TRUE,2400,,,,,FALSE,7,7505,25,5004,6004,0.400,-,-,-,0.400,"26,548",-,-,-,"26,548","15,010","20,382",-,-,"51,991","48,032",-,"11,221",Alien Squeaky Toy,-,"7,887",4.32,825,-,Search Team,-
Seashell Searching,"Beach of Woes, Farsand Coast","Jarvonia,GDTE",,4.0375,144.616,FALSE,FALSE,FALSE,Foraging,25,,,,,,,TRUE,70,,,,,FALSE,0,105,125,42,84,0.833,-,-,-,0.833,"12,734",-,-,-,"12,734","21,000","28,515",-,-,-,-,-,"28,515",-,-,"8,803",55.09,-,-,Seashell Searching,"313,901.35"
Skate Skiing,Noiseless Pass,Jarvonia,skis,0,62.672,FALSE,FALSE,FALSE,Agility,20,,,,,,,TRUE,172,,,,,FALSE,0,318,35,199,255,0.675,-,-,-,0.675,"15,733",-,-,-,"15,733","63,750","86,564",-,-,-,-,-,"86,564",-,-,"13,313",1.02,-,-,Skate Skiing,-
Sledding,,Jarvonia,,0,62.672,FALSE,FALSE,FALSE,Agility,20,,,,,,,TRUE,50,,,,,FALSE,0,100,45,59,80,0.625,-,-,-,0.625,"16,979",-,-,-,"16,979","20,000","27,157",-,-,-,-,-,"27,157",-,-,"10,447",3.24,-,-,Sledding,-
Soup Kitchen Volunteering,"Azurazera, Granfiddich","Jarvonia,GDTE",,0.09837,67.452,FALSE,FALSE,FALSE,Cooking,10,,,,,,,TRUE,22,,,,,FALSE,0,56,45,33,45,0.489,-,-,-,0.489,"21,706",-,-,-,"21,706","11,250","15,276",-,-,-,-,"90,000","13,059",-,Soup Kitchen Badge,"8,154",8.36,-,-,Soup Kitchen Volunteering,"204,545.45"
Spelunking,Sanguine Hills,Jarvonia,"climbing,lightSource",10.702675,321.112,FALSE,FALSE,FALSE,Mining,50,Agility,50,,,,,TRUE,232,232,,,,TRUE,0,375,150,150,375,0.619,0.619,-,-,1.237,"17,153","17,153",-,-,"8,577","93,750","127,300","127,300",-,-,-,"535,714","56,891",-,Ancient Ankh,"7,453",31.61,-,"23,438",Spelunking,"107,758.62"
Spring Cave Foraging,Winter's End,Jarvonia,lightSource,1.4,73.096,FALSE,FALSE,FALSE,Foraging,35,,,,,,,TRUE,59,,,,,FALSE,0,74,58,42,63,0.937,-,-,-,0.937,"11,331",-,-,-,"11,331","15,750","21,386",-,-,-,-,-,"21,386",-,-,"7,407",27.11,-,-,Spring Cave Foraging,"90,309.63"
Stone Quarrying,Sanguine Hills,Jarvonia,,0.029,86.06,FALSE,FALSE,FALSE,Mining,1,,,,,,,TRUE,8,,,,,FALSE,0,39,31,25,32,0.250,-,-,-,0.250,"42,448",-,-,-,"42,448","8,000","10,863",-,-,-,-,-,"10,863",-,-,"8,649",11.71,-,-,Stone Quarrying,-
